Unnamed: 0,Film,Budget,Revenue,Novel,Earnings,First Letter
892,Now You See Me 2,90000000,334901337,0.0,244901337,N
893,Oblivion,120000000,286168572,0.0,166168572,O
894,Obsessed,20000000,73830340,0.0,53830340,O
895,Ocean's Thirteen,85000000,311312624,0.0,226312624,O
896,Ocean's Twelve,110000000,362744280,0.0,252744280,O
897,Oculus,5000000,44030246,0.0,39030246,O
898,Office Christmas Party,45000000,114501299,0.0,69501299,O
899,Old Dogs,35000000,92219310,0.0,57219310,O
900,Old School,24000000,87055349,0.0,63055349,O
901,Oliver Twist,50000000,42093706,1.0,-7906294,O
902,Olympus Has Fallen,70000000,161025640,0.0,91025640,O
903,Once Upon a Time in Mexico,29000000,98185582,0.0,69185582,O
904,One Day,15000000,59389433,1.0,44389433,O
905,One Hour Photo,12000000,52223306,0.0,40223306,O
906,One Night with the King,20000000,13391174,1.0,-6608826,O
907,Open Range,22000000,68296293,1.0,46296293,O
908,Open Season,85000000,197309027,0.0,112309027,O
909,Open Water,130000,54667954,0.0,54537954,O
910,Orphan,20000000,41596251,0.0,21596251,O
911,Ouija,5000000,103590271,0.0,98590271,O
912,Ouija: Origin of Evil,9000000,81705746,0.0,72705746,O
913,Our Family Wedding,14000000,21409028,0.0,7409028,O
914,Our Idiot Brother,10000000,17273593,0.0,7273593,O
915,Out of Time,50000000,55495563,0.0,5495563,O
916,Out of the Furnace,22000000,15400000,0.0,-6600000,O
917,Over the Hedge,80000000,343397247,0.0,263397247,O
918,P.S. I Love You,30000000,156835339,1.0,126835339,P
919,P2,8000000,7766240,0.0,-233760,P
920,Pacific Rim,180000000,407602906,0.0,227602906,P
921,Paddington,55000000,259207227,1.0,204207227,P
922,Pan,150000000,128388320,1.0,-21611680,P
923,Pandorum,33000000,20645327,0.0,-12354673,P
924,Panic Room,48000000,196397415,0.0,148397415,P
925,Paparazzi,20000000,16605763,0.0,-3394237,P
926,Paper Towns,12000000,85512300,1.0,73512300,P
927,ParaNorman,60000000,107139399,0.0,47139399,P
928,Paranoia,35000000,13785015,1.0,-21214985,P
929,Paranormal Activity,15000,193355800,0.0,193340800,P
930,Paranormal Activity 2,3000000,177512032,0.0,174512032,P
931,Paranormal Activity 3,5000000,205703818,0.0,200703818,P
932,Paranormal Activity 4,5000000,142817992,0.0,137817992,P
933,Paranormal Activity: The Ghost Dimension,10000000,78096553,0.0,68096553,P
934,Paranormal Activity: The Marked Ones,5000000,86362372,0.0,81362372,P
935,Parental Guidance,25000000,119772232,0.0,94772232,P
936,Parker,35000000,46216641,1.0,11216641,P
937,Patriots Day,45000000,50548152,0.0,5548152,P
938,Paul,40000000,97552050,0.0,57552050,P
939,Paul Blart: Mall Cop,26000000,183293131,0.0,157293131,P
940,Paul Blart: Mall Cop 2,38000000,107597242,0.0,69597242,P
941,Pawn Sacrifice,19000000,5578519,0.0,-13421481,P
942,Paycheck,60000000,96269812,0.0,36269812,P
943,Penguins of Madagascar,132000000,373552094,0.0,241552094,P
944,People Like Us,16000000,12434778,0.0,-3565222,P
945,Percy Jackson: Sea of Monsters,90000000,174578751,1.0,84578751,P
946,Perfect Stranger,60795000,73090611,0.0,12295611,P
947,Peter Pan,100000000,121975011,1.0,21975011,P
948,Philomena,12000000,100129872,0.0,88129872,P
949,Phoenix Forgotten,2800000,3600000,0.0,800000,P
950,Phone Booth,13000000,97837138,0.0,84837138,P
951,Pineapple Express,27000000,101624843,0.0,74624843,P
952,Pinocchio,40000000,41323171,1.0,1323171,P
953,Pinocchio,40000000,41323171,1.0,1323171,P
954,Pinocchio,40000000,41323171,1.0,1323171,P
955,Piranha 3D,24000000,83188165,0.0,59188165,P
956,Pirates of the Caribbean: At World's End,300000000,961000000,0.0,661000000,P
957,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,0.0,865659812,P
958,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,794191988,0.0,564191988,P
959,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,1.0,665713802,P
960,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,0.0,515011224,P
961,Pitch Perfect,17000000,115350426,0.0,98350426,P
962,Pitch Perfect 2,29000000,287506194,0.0,258506194,P
963,Pixels,88000000,243637091,0.0,155637091,P
964,Planes,50000000,219788712,0.0,169788712,P
965,Planes: Fire & Rescue,50000000,151165787,0.0,101165787,P
966,Planet 51,70000000,104945765,0.0,34945765,P
967,Pompeii,130000000,117831631,0.0,-12168369,P
968,Poseidon,160000000,181674817,1.0,21674817,P
969,Post Grad,15000000,6405245,0.0,-8594755,P
970,Predators,40000000,126248813,0.0,86248813,P
971,Premium Rush,35000000,31083599,0.0,-3916401,P
972,Premonition,20000000,84146832,0.0,64146832,P
973,Pride and Prejudice and Zombies,28000000,16374328,1.0,-11625672,P
974,Priest,60000000,78309131,1.0,18309131,P
975,Prince of Persia: The Sands of Time,150000000,335154643,0.0,185154643,P
976,Prisoners,46000000,122126687,0.0,76126687,P
977,Project Almanac,12000000,32248241,0.0,20248241,P
978,Project X,12000000,100000000,0.0,88000000,P
979,Prom,8000000,10130000,0.0,2130000,P
980,Prometheus,130000000,403170142,0.0,273170142,P
981,Public Enemies,80000000,214104620,0.0,134104620,P
982,Pulse,38000000,29907685,0.0,-8092315,P
983,Punch-Drunk Love,25000000,17000000,0.0,-8000000,P
984,Punisher: War Zone,20500000,10089373,0.0,-10410627,P
985,Push,38000000,45465299,0.0,7465299,P
986,Quantum of Solace,200000000,586090727,0.0,386090727,Q
987,Quarantine,12000000,40855419,0.0,28855419,Q
988,Quartet,11000000,59520298,0.0,48520298,Q
989,Queen of Katwe,15000000,10367161,0.0,-4632839,Q
990,Queen of the Damned,35000000,45479110,1.0,10479110,Q
991,R.I.P.D.,130000000,61648500,0.0,-68351500,R
992,RV,50000000,87528173,0.0,37528173,R
993,Race to Witch Mountain,50000000,106303988,1.0,56303988,R
994,Racing Stripes,30000000,93772522,0.0,63772522,R
995,Radio,32000000,52277485,0.0,20277485,R
996,Raise Your Voice,15000000,14867514,0.0,-132486,R
997,Raising Helen,50000000,49718611,0.0,-281389,R
998,Rambo,50000000,113244290,0.0,63244290,R
999,Rango,135000000,245724603,0.0,110724603,R
1000,Ratatouille,150000000,623722818,0.0,473722818,R
1001,Ratchet & Clank,20000000,8821329,0.0,-11178671,R
1002,Ray,40000000,124731534,0.0,84731534,R
1003,Real Steel,110000000,299268508,0.0,189268508,R
1004,Rebound,45000000,16809014,0.0,-28190986,R
1005,Red Dragon,78000000,209196298,1.0,131196298,R
1006,Red Eye,26000000,57891803,0.0,31891803,R
1007,Red Riding Hood,42000000,89162162,0.0,47162162,R
1008,Red Tails,58000000,50365377,0.0,-7634623,R
1009,Reign Over Me,20000000,22222308,0.0,2222308,R
1010,Reign of Fire,60000000,43061982,0.0,-16938018,R
1011,Remember Me,16000000,56032889,0.0,40032889,R
1012,Rendition,27500000,24748670,0.0,-2751330,R
1013,Reno 911!: Miami,10000000,20342161,0.0,10342161,R
1014,Rent,40000000,31670620,0.0,-8329380,R
1015,Repo Men,32000000,18409891,1.0,-13590109,R
1016,Resident Evil,33000000,102984862,0.0,69984862,R
1017,Resident Evil: Afterlife,60000000,300228084,0.0,240228084,R
1018,Resident Evil: Apocalypse,45000000,129394835,0.0,84394835,R
1019,Resident Evil: Extinction,45000000,148412065,0.0,103412065,R
1020,Resident Evil: Retribution,65000000,240159255,0.0,175159255,R
1021,Resident Evil: The Final Chapter,40000000,312242626,0.0,272242626,R
1022,Return to Never Land,20000000,109862682,0.0,89862682,R
1023,Revolutionary Road,35000000,75225693,1.0,40225693,R
1024,Ricki and the Flash,18000000,41325328,0.0,23325328,R
1025,Riddick,38000000,98337295,0.0,60337295,R
1026,Ride Along,25000000,153997819,0.0,128997819,R
1027,Ride Along 2,40000000,124827316,0.0,84827316,R
1028,Righteous Kill,60000000,73174566,0.0,13174566,R
1029,Rings,25000000,83080890,0.0,58080890,R
1030,Rio,90000000,484635760,0.0,394635760,R
1031,Rio 2,103000000,500188435,0.0,397188435,R
1032,Rise of the Guardians,145000000,306941670,0.0,161941670,R
1033,Rise of the Planet of the Apes,93000000,482860185,0.0,389860185,R
1034,Risen,20000000,46069568,0.0,26069568,R
1035,Road to Perdition,80000000,181001478,1.0,101001478,R
1036,Robin Hood,200000000,310669540,0.0,110669540,R
1037,Robots,75000000,260696994,0.0,185696994,R
1038,Rock Dog,60000000,9420546,0.0,-50579454,R
1039,Rock of Ages,75000000,59418613,0.0,-15581387,R
1040,RockNRolla,18000000,25739015,0.0,7739015,R
1041,Rocky Balboa,24000000,155721132,0.0,131721132,R
1042,Rogue One: A Star Wars Story,200000000,1056057273,0.0,856057273,R
1043,Role Models,28000000,92380927,0.0,64380927,R
1044,Room,6000000,35401758,1.0,29401758,R
1045,Rough Night,20000000,45056771,0.0,25056771,R
1046,Rules Don't Apply,25000000,3885342,0.0,-21114658,R
1047,Run All Night,50000000,71561644,0.0,21561644,R
1048,Runaway Jury,60000000,80154140,1.0,20154140,R
1049,Runner Runner,30000000,62616646,0.0,32616646,R
1050,Running Scared,17000000,9500000,0.0,-7500000,R
1051,Rush Hour 3,140000000,258022233,0.0,118022233,R
1052,S.W.A.T.,80000000,116643346,0.0,36643346,S
1053,Safe Haven,28000000,97594140,1.0,69594140,S
1054,Safe House,85000000,208076205,0.0,123076205,S
1055,Sahara,130000000,119269486,1.0,-10730514,S
1056,Salt,110000000,293329073,0.0,183329073,S
1057,San Andreas,110000000,470490832,0.0,360490832,S
1058,Sanctum,30000000,108609310,0.0,78609310,S
1059,Sausage Party,19000000,140705322,0.0,121705322,S
1060,Saving Mr. Banks,35000000,112544580,0.0,77544580,S
1061,Saw,1200000,103911669,0.0,102711669,S
1062,Saw 3D,20000000,136150434,0.0,116150434,S
1063,Saw II,4000000,152925093,0.0,148925093,S
1064,Saw III,10000000,163876815,0.0,153876815,S
1065,Saw IV,10000000,139352633,0.0,129352633,S
1066,Saw V,10800000,113857533,0.0,103057533,S
1067,Saw VI,11000000,68233629,0.0,57233629,S
1068,Scary Movie 3,48000000,220673217,0.0,172673217,S
1069,Scary Movie 4,45000000,178262620,0.0,133262620,S
1070,Scary Movie 5,20000000,78378744,0.0,58378744,S
1071,School for Scoundrels,20000000,17807569,1.0,-2192431,S
1072,School of Rock,35000000,131282949,0.0,96282949,S
1073,Scooby-Doo,84000000,275650703,0.0,191650703,S
1074,Scott Pilgrim vs. the World,60000000,47664559,0.0,-12335441,S
1075,Scouts Guide to the Zombie Apocalypse,15000000,14860766,0.0,-139234,S
1076,Scream 4,40000000,97138686,0.0,57138686,S
1077,Seabiscuit,87000000,148336445,0.0,61336445,S
1078,Season of the Witch,40000000,88100000,0.0,48100000,S
1079,Secret Window,40000000,92913171,1.0,52913171,S
1080,Secretariat,35000000,60251371,0.0,25251371,S
1081,Seed of Chucky,12000000,24829644,0.0,12829644,S
1082,Seeking a Friend for the End of the World,10000000,9636289,0.0,-363711,S
1083,Selma,20000000,66787908,0.0,46787908,S
1084,Serenity,39000000,38869464,0.0,-130536,S
1085,Serving Sara,29000000,16930185,0.0,-12069815,S
1086,Seven Pounds,55000000,168167691,0.0,113167691,S
1087,Seven Psychopaths,15000000,19422261,0.0,4422261,S
1088,Seventh Son,95000000,114178613,1.0,19178613,S
1089,Sex Drive,19000000,18755936,0.0,-244064,S
1090,Sex Tape,40000000,126069509,0.0,86069509,S
1091,Sex and the City,65000000,415252786,0.0,350252786,S
1092,Sex and the City 2,100000000,288347692,0.0,188347692,S
1093,Shanghai Knights,50000000,88323487,0.0,38323487,S
1094,Shark Tale,75000000,367275019,0.0,292275019,S
1095,Shaun of the Dead,4000000,30039392,0.0,26039392,S
1096,She's Out of My League,20000000,49779728,0.0,29779728,S
1097,She's the Man,20000000,33889159,0.0,13889159,S
1098,Sherlock Holmes,90000000,524028679,1.0,434028679,S
1099,Sherlock Holmes: A Game of Shadows,125000000,334615000,1.0,209615000,S
1100,Shoot 'Em Up,39000000,26820641,0.0,-12179359,S
1101,Shooter,61000000,95696996,1.0,34696996,S
1102,Shorts,40000000,28972508,0.0,-11027492,S
1103,Showtime,85000000,77741732,0.0,-7258268,S
1104,Shrek 2,150000000,919838758,0.0,769838758,S
1105,Shrek Forever After,165000000,752600867,0.0,587600867,S
1106,Shrek the Third,160000000,798958165,1.0,638958165,S
1107,Shut In,10000000,13082071,0.0,3082071,S
1108,Shutter Island,80000000,294804195,1.0,214804195,S
1109,Sicario,30000000,84025816,0.0,54025816,S
1110,Sicko,9000000,24538513,0.0,15538513,S
1111,Sideways,16000000,109502303,1.0,93502303,S
1112,Sideways,16000000,109502303,1.0,93502303,S
1113,Signs,72000000,408247917,0.0,336247917,S
1114,Silent Hill,50000000,97607453,0.0,47607453,S
1115,Silent Hill: Revelation 3D,20000000,52302796,0.0,32302796,S
1116,Silent House,2000000,13101672,0.0,11101672,S
1117,Silver Linings Playbook,21000000,205738714,0.0,184738714,S
1118,Sin City,40000000,158733820,0.0,118733820,S
1119,Sinbad: Legend of the Seven Seas,60000000,26288320,0.0,-33711680,S
1120,Sing,75000000,632443719,0.0,557443719,S
1121,Sinister,3000000,77712439,0.0,74712439,S
1122,Sinister 2,10000000,52882018,0.0,42882018,S
1123,Sisters,30000000,105011053,0.0,75011053,S
1124,Sky Captain and the World of Tomorrow,70000000,57958696,0.0,-12041304,S
1125,Sky High,35000000,86369815,0.0,51369815,S
1126,Skyfall,200000000,1108561013,0.0,908561013,S
1127,Skyline,10000000,66821036,0.0,56821036,S
1128,Slackers,14000000,6413915,0.0,-7586085,S
1129,Sleepless,30000000,32540674,0.0,2540674,S
1130,Slow Burn,15500000,1237615,0.0,-14262385,S
1131,Slumdog Millionaire,15000000,377910544,1.0,362910544,S
1132,Smart People,7000000,10569964,0.0,3569964,S
1133,Smokin' Aces,17000000,57103895,0.0,40103895,S
1134,Smurfs: The Lost Village,60000000,197183546,0.0,137183546,S
1135,Snakes on a Plane,33000000,62022014,0.0,29022014,S
1136,Snatched,42000000,60845711,0.0,18845711,S
1137,Snitch,35000000,42930462,0.0,7930462,S
1138,Snow White and the Huntsman,170000000,396600000,0.0,226600000,S
1139,Snowden,40000000,37279439,0.0,-2720561,S
1140,Solaris,47000000,30002758,1.0,-16997242,S
1141,Something Borrowed,35000000,59901913,1.0,24901913,S
1142,Something's Gotta Give,80000000,266728738,0.0,186728738,S
1143,Son of God,22000000,67800064,0.0,45800064,S
1144,Sorority Row,12500000,27206120,0.0,14706120,S
1145,Soul Plane,16000000,14822346,0.0,-1177654,S
1146,Soul Surfer,18000000,47088990,0.0,29088990,S
1147,Source Code,32000000,147332697,0.0,115332697,S
1148,Southpaw,30000000,91709827,0.0,61709827,S
1149,Space Chimps,37000000,63800345,0.0,26800345,S
1150,Spanglish,80000000,55041367,0.0,-24958633,S
1151,Spartan,19250000,8112712,0.0,-11137288,S
1152,Spectre,245000000,880674609,0.0,635674609,S
1153,Speed Racer,120000000,93945766,0.0,-26054234,S
1154,Spider-Man,139000000,821708551,0.0,682708551,S
1155,Spider-Man 2,200000000,783766341,0.0,583766341,S
1156,Spider-Man 3,258000000,890871626,0.0,632871626,S
1157,Spirit: Stallion of the Cimarron,80000000,122563539,0.0,42563539,S
1158,Split,9000000,276921998,0.0,267921998,S
1159,Spotlight,20000000,88346473,0.0,68346473,S
1160,Spring Breakers,5000000,31724284,0.0,26724284,S
1161,Spy,65000000,235666219,0.0,170666219,S
1162,Spy Kids 2: The Island of Lost Dreams,38000000,119723358,0.0,81723358,S
1163,Spy Kids: All the Time in the World,27000000,85564310,0.0,58564310,S
1164,St. Vincent,13000000,54837234,0.0,41837234,S
1165,Star Trek,150000000,385680446,0.0,235680446,S
1166,Star Trek Beyond,185000000,343471816,0.0,158471816,S
1167,Star Trek Into Darkness,190000000,467365246,0.0,277365246,S
1168,Star Trek: Nemesis,60000000,67312826,0.0,7312826,S
1169,Star Wars: Episode II - Attack of the Clones,120000000,649398328,0.0,529398328,S
1170,Star Wars: Episode III - Revenge of the Sith,113000000,850000000,0.0,737000000,S
1171,Star Wars: The Clone Wars,8500000,68282844,0.0,59782844,S
1172,Star Wars: The Force Awakens,245000000,2068223624,0.0,1823223624,S
1173,Stardust,70000000,135560026,1.0,65560026,S
1174,State of Play,60000000,87784194,0.0,27784194,S
1175,Stay,50000000,8342132,0.0,-41657868,S
1176,Stay Alive,9000000,27105095,0.0,18105095,S
1177,Stealth,135000000,76932943,0.0,-58067057,S
1178,Step Brothers,65000000,128107642,0.0,63107642,S
1179,Step Up,12000000,114194847,0.0,102194847,S
1180,Step Up All In,45000000,86165646,0.0,41165646,S
1181,Step Up Revolution,33000000,140470746,0.0,107470746,S
1182,Steve Jobs,30000000,34441873,0.0,4441873,S
1183,Still Alice,5000000,43884652,1.0,38884652,S
1184,Stomp the Yard,13000000,75511123,0.0,62511123,S
1185,Stop-Loss,25000000,11207130,0.0,-13792870,S
1186,Storks,70000000,182379278,0.0,112379278,S
1187,Straight Outta Compton,28000000,201634991,0.0,173634991,S
1188,Stranger Than Fiction,30000000,53653224,0.0,23653224,S
1189,Street Fighter: The Legend of Chun-Li,50000000,12764201,0.0,-37235799,S
1190,Street Kings,20000000,65569869,0.0,45569869,S
1191,Stuart Little 2,120000000,169956806,1.0,49956806,S
1192,Stuck on You,55000000,33828318,0.0,-21171682,S
1193,Sucker Punch,82000000,89792502,0.0,7792502,S
1194,Suicide Squad,175000000,745600054,0.0,570600054,S
1195,Sully,60000000,238470033,0.0,178470033,S
1196,Sunshine Cleaning,5000000,16174377,0.0,11174377,S
1197,Super 8,50000000,260095987,0.0,210095987,S
1198,Superbad,20000000,121463226,0.0,101463226,S
1199,Superhero Movie,35000000,25871834,0.0,-9128166,S
1200,Superman Returns,270000000,391081192,0.0,121081192,S
1201,Surf's Up,85000000,149044513,0.0,64044513,S
1202,Surrogates,80000000,122444772,0.0,42444772,S
1203,Surviving Christmas,45000000,14793624,1.0,-30206376,S
1204,Suspect Zero,27000000,13000000,0.0,-14000000,S
1205,Sweeney Todd: The Demon Barber of Fleet Street,50000000,152000000,0.0,102000000,S
1206,Sweet Home Alabama,30000000,180622424,0.0,150622424,S
1207,Swing Vote,21000000,17600000,0.0,-3400000,S
1208,Swiss Army Man,3000000,4210454,0.0,1210454,S
1209,Sydney White,16500000,13620075,0.0,-2879925,S
1210,Syriana,50000000,94000000,0.0,44000000,S
1211,TMNT,34000000,95608995,0.0,61608995,T
1212,Table 19,5000000,3305592,0.0,-1694408,T
1213,Take Me Home Tonight,19000000,6928068,0.0,-12071932,T
1214,Take the Lead,30000000,34742066,0.0,4742066,T
1215,Taken,25000000,226830568,0.0,201830568,T
1216,Taken 2,45000000,376141306,0.0,331141306,T
1217,Taken 3,48000000,325771424,0.0,277771424,T
1218,Takers,32000000,69055695,0.0,37055695,T
1219,Taking Lives,45000000,65470529,1.0,20470529,T
1220,Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177,0.0,90466177,T
1221,Tammy,20000000,100525432,0.0,80525432,T
1222,Tangled,260000000,591794936,0.0,331794936,T
1223,Taxi,25000000,36609966,0.0,11609966,T
1224,Team America: World Police,32000000,50907422,0.0,18907422,T
1225,Tears of the Sun,70000000,85632458,0.0,15632458,T
1226,Ted,50000000,549368315,0.0,499368315,T
1227,Ted 2,68000000,217022588,0.0,149022588,T
1228,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,0.0,110623848,T
1229,Terminator 3: Rise of the Machines,200000000,435000000,0.0,235000000,T
1230,Terminator Salvation,200000000,371353001,0.0,171353001,T
1231,Texas Chainsaw 3D,20000000,47241945,0.0,27241945,T
1232,Thank You for Smoking,6500000,24793509,1.0,18293509,T
1233,That Awkward Moment,8000000,26049082,0.0,18049082,T
1234,That's My Boy,70000000,58058367,0.0,-11941633,T
1235,The 33,25000000,24902723,0.0,-97277,T
1236,The 5th Wave,38000000,109906372,1.0,71906372,T
1237,The A-Team,110000000,177238796,0.0,67238796,T
1238,The Accountant,44000000,155160045,0.0,111160045,T
1239,The Adjustment Bureau,50200000,127869379,0.0,77669379,T
1240,The Adventures of Pluto Nash,100000000,7103973,0.0,-92896027,T
1241,The Adventures of Tintin,130000000,371940071,0.0,241940071,T
1242,The Age of Adaline,25000000,65663276,0.0,40663276,T
1243,The Amazing Spider-Man,215000000,752215857,0.0,537215857,T
1244,The Amazing Spider-Man 2,200000000,705717432,0.0,505717432,T
1245,The American,20000000,65464324,1.0,45464324,T
1246,The Angry Birds Movie,73000000,349779543,0.0,276779543,T
1247,The Ant Bully,50000000,55181129,0.0,5181129,T
1248,The Apparition,17000000,9627492,0.0,-7372508,T
1249,The Artist,15000000,133432856,0.0,118432856,T
1250,The Astronaut Farmer,13000000,11130889,0.0,-1869111,T
1251,The Aviator,116000000,102000000,0.0,-14000000,T
1252,The BFG,140000000,183345589,0.0,43345589,T
1253,The Back-Up Plan,35000000,77477008,0.0,42477008,T
1254,The Bank Job,20000000,64822796,0.0,44822796,T
1255,The Best Exotic Marigold Hotel,10000000,136836156,1.0,126836156,T
1256,The Best Man Holiday,17000000,71625195,0.0,54625195,T
1257,The Best of Me,26000000,35926213,1.0,9926213,T
1258,The Big Bounce,50000000,6808550,1.0,-43191450,T
1259,The Big Short,28000000,133346506,0.0,105346506,T
1260,The Big Wedding,35000000,21819348,0.0,-13180652,T
1261,The Big Year,41000000,7448385,0.0,-33551615,T
1262,The Birth of a Nation,8500000,15861566,0.0,7361566,T
1263,The Black Dahlia,50000000,49111202,1.0,-888798,T
1264,The Blind Side,29000000,309208309,0.0,280208309,T
1265,The Bling Ring,15000000,19145732,0.0,4145732,T
1266,The Book of Eli,80000000,157107755,0.0,77107755,T
1267,The Book of Henry,10000000,4219536,0.0,-5780464,T
1268,The Boss,29000000,78636257,0.0,49636257,T
1269,The Boss Baby,125000000,498814908,0.0,373814908,T
1270,The Bounty Hunter,40000000,136000000,0.0,96000000,T
1271,The Bourne Identity,60000000,214034224,1.0,154034224,T
1272,The Bourne Legacy,130000000,276572938,0.0,146572938,T
1273,The Bourne Supremacy,75000000,288500217,1.0,213500217,T
1274,The Bourne Ultimatum,70000000,442824138,1.0,372824138,T
1275,The Box,30000000,33333531,0.0,3333531,T
1276,The Boxtrolls,60000000,108255770,1.0,48255770,T
1277,The Boy Next Door,4000000,52425855,0.0,48425855,T
1278,The Brave One,70000000,69766619,0.0,-233381,T
1279,The Break-Up,52000000,204999686,0.0,152999686,T
1280,The Bronze,3500000,615816,0.0,-2884184,T
1281,The Brothers Grimm,88000000,105316267,0.0,17316267,T
1282,The Bucket List,45000000,175372502,0.0,130372502,T
1283,The Butterfly Effect,13000000,96060858,0.0,83060858,T
1284,The Bye Bye Man,7400000,26667197,1.0,19267197,T
1285,The Cabin in the Woods,30000000,66486080,0.0,36486080,T
1286,The Call,13000000,68572378,0.0,55572378,T
1287,The Cave,30000000,15007991,0.0,-14992009,T
1288,The Change-Up,52000000,75450437,0.0,23450437,T
1289,The Choice,10000000,18730891,1.0,8730891,T
1290,The Chronicles of Narnia: Prince Caspian,225000000,419651413,1.0,194651413,T
1291,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,1.0,568806957,T
1292,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,1.0,260686217,T
1293,The Chronicles of Riddick,105000000,115772733,0.0,10772733,T
1294,The Cold Light of Day,20000000,16863583,0.0,-3136417,T
1295,The Collector,3400000,114000000,1.0,110600000,T
1296,The Conjuring,13000000,318000141,0.0,305000141,T
1297,The Conjuring 2,40000000,320170008,0.0,280170008,T
1298,The Conspirator,25000000,15478800,0.0,-9521200,T
1299,The Constant Gardener,25000000,82466670,1.0,57466670,T
1300,The Cookout,16000000,12,0.0,-15999988,T
1301,The Core,60000000,74208267,0.0,14208267,T
1302,The Counselor,25000000,71009334,0.0,46009334,T
1303,The Count of Monte Cristo,35000000,75395048,1.0,40395048,T
1304,The Covenant,20000000,37597471,0.0,17597471,T
1305,The Crazies,20000000,54956140,0.0,34956140,T
1306,The Croods,135000000,585178928,0.0,450178928,T
1307,The Curious Case of Benjamin Button,150000000,333932083,0.0,183932083,T
1308,The D Train,447524,771317,0.0,323793,T
1309,The DUFF,8500000,43528634,0.0,35028634,T
1310,The Da Vinci Code,125000000,767820459,1.0,642820459,T
1311,The Danish Girl,15000000,64191523,1.0,49191523,T
1312,The Darjeeling Limited,16000000,24377151,0.0,8377151,T
1313,The Dark Knight,185000000,1004558444,0.0,819558444,T
1314,The Dark Knight Rises,250000000,1084939099,0.0,834939099,T
1315,The Dark Tower,60000000,71000000,1.0,11000000,T
1316,The Darkest Hour,30000000,64626786,0.0,34626786,T
1317,The Darkness,4000000,10898293,0.0,6898293,T
1318,The Day After Tomorrow,125000000,544272402,0.0,419272402,T
1319,The Debt,20000000,45636368,0.0,25636368,T
1320,The Departed,90000000,289847354,0.0,199847354,T
1321,The Descendants,20000000,177243185,1.0,157243185,T
1322,The Devil Inside,1000000,101758490,0.0,100758490,T
1323,The Devil Wears Prada,35000000,326551094,1.0,291551094,T
1324,The Diary of a Teenage Girl,2000000,1477002,1.0,-522998,T
1325,The Dictator,65000000,179379533,0.0,114379533,T
1326,The Dilemma,70000000,67112664,0.0,-2887336,T
1327,The Drop,12600000,19054534,0.0,6454534,T
1328,The Dukes of Hazzard,50000000,110803676,0.0,60803676,T
1329,The Eagle,25000000,27122040,1.0,2122040,T
1330,The Edge of Seventeen,9000000,18803648,0.0,9803648,T
1331,The Emoji Movie,50000000,66913939,0.0,16913939,T
1332,The Equalizer,55000000,192330738,0.0,137330738,T
1333,The Exorcism of Emily Rose,19000000,144216468,0.0,125216468,T
